F1,F2,F3,F4,cluster
-1.5438,-1.663,-1.4314,-1.2969,3
0.509,-0.1382,0.5722,0.8091,4
0.2772,-0.1182,1.0024,0.4499,4
-1.77,1.128,2.1858,-0.4829,1
0.332,-0.5637,1.1371,-0.3832,4
-1.9236,1.1863,1.8301,-1.2403,1
0.7692,-1.2071,-0.8794,2.1401,4
-0.4284,0.1886,0.8211,-0.0829,1
1.5494,0.737,1.3773,-1.8309,2
0.4058,0.0314,0.066,0.8134,4
-0.6814,0.1844,-0.6098,1.4817,0
0.4444,0.2372,0.1048,0.9302,4
-1.1163,0.7889,-0.4403,2.1551,0
0.7998,0.1635,0.0594,0.882,4
-0.7947,-0.6201,0.0481,0.6056,4
-1.8356,1.5072,-0.5902,1.7362,0
0.712,-1.7717,-0.1122,0.2907,4
-0.8194,-0.5842,-1.1277,1.4686,0
0.2907,-0.7706,0.0609,0.3357,4
-0.1536,-0.3098,0.1781,0.6781,4
-1.5408,0.6903,0.2413,-0.2307,1
-1.3335,-0.2823,1.4489,-0.2851,1
0.2664,-0.0464,0.4623,0.5971,4
-0.6133,0.3634,-0.4298,0.2187,0
-1.029,1.2896,-1.3978,1.3555,0
0.7659,-0.1975,0.9659,0.4184,4
0.963,-1.2526,-0.5024,0.9183,4
-1.7268,1.4106,-0.8146,1.3985,0
0.932,-1.3075,-0.14,0.2419,4
-1.2232,1.1295,1.2993,-1.2803,1
0.2428,-1.3733,0.504,0.3522,4
-1.3387,0.7471,-1.013,0.7885,0
0.729,-0.0681,0.2507,0.2943,4
0.9483,-1.4874,0.1645,0.2607,4
0.3322,0.0806,0.9832,0.3388,4
0.358,0.0862,-0.0559,0.1534,4
-0.2197,0.0004,1.8379,-1.7413,1
0.2726,0.012,0.0692,1.003,4
-0.2139,-0.5014,0.278,0.6234,4
-1.276,0.3172,1.1104,-0.1471,1
0.8062,-1.5384,0.2753,1.1505,4
0.0228,0.2846,0.5129,0.4993,4
-1.5779,1.2418,1.0899,-0.7668,1
0.702,-1.1917,0.1613,1.1558,4
-1.368,0.8467,1.1542,0.3595,1
-0.9773,0.3546,0.2603,0.1889,1
-1.4288,0.6145,1.5046,-0.3984,1
0.2617,-1.3952,0.3402,0.7945,4
-0.5905,0.4999,-0.2388,1.3382,0
0.4601,-1.0224,0.9084,-0.0495,4
-0.995,-0.5212,-0.6012,0.5369,0
0.8535,-1.4463,-0.4288,1.1408,4
-0.2954,-0.8852,0.7407,0.0542,4
-1.1415,0.5239,-0.5618,0.2741,0
-0.4606,0.1213,0.9495,-0.8651,1
-0.1063,-0.5898,-0.3445,0.1629,4
-0.3157,-0.1209,0.0664,0.8925,4
-1.654,0.5658,1.9074,1.9591,1
-0.109,-0.896,0.5972,-0.6019,4
1.0465,-1.357,-0.8406,-1.1637,3
0.0013,0.4927,1.1428,-0.9153,1
0.5666,-1.4801,0.3922,0.4991,4
-1.0359,0.7601,-1.1279,1.0103,0
0.2299,-0.6413,-0.4669,1.0227,4
-1.0173,0.6977,-1.1898,0.6639,0
-0.4463,-0.2116,0.4455,0.2568,4
-1.0445,-0.1617,-0.9799,0.2908,0
-0.5723,-0.0672,-0.1276,0.1611,4
0.6811,-1.1463,-0.6265,0.0055,4
-1.2958,-1.1243,-0.5439,-0.5283,3
-0.7568,0.4986,0.2276,-0.2329,1
0.5046,-1.2102,-0.1672,0.4886,4
-0.0806,-0.2254,1.562,-0.2592,1
-1.274,0.6745,0.7641,0.3831,1
0.8185,-0.9704,-0.169,1.066,4
-0.4314,0.1679,1.4054,-0.9882,1
-1.3261,1.9712,-0.5129,-0.1832,0
0.5843,-1.1208,0.6121,-0.4838,4
-0.2066,-0.1791,1.3297,-0.4942,1
-0.0336,-0.18,0.6147,0.6447,4
-1.7779,-1.957,0.7102,1.4259,4
-0.5144,-0.2521,0.149,0.219,4
-0.7515,0.1945,0.2068,1.1645,0
-1.5416,0.9736,-0.2967,1.1541,0
-0.3823,0.2769,-0.7008,0.5181,0
-1.2232,0.9668,-0.2445,-0.5187,1
-0.8099,0.8531,1.3186,-1.3133,1
0.3846,-1.221,0.3145,0.7719,4
0.5222,-0.9388,0.5344,-0.5864,4
-1.0649,0.7701,-0.1708,0.7568,0
