F1,F2,F3,F4,composite
-0.2999,-0.7536,1.1877,0.0976,-0.0506
-0.9295,-0.9296,1.4893,-2.1991,-0.6896
0.9426,-1.993,2.0848,-0.9157,-0.0543
-1.5024,1.1107,-2.1181,2.236,-0.1185
-1.9287,1.6673,0.0979,-0.0552,-0.0899
-1.8526,1.1692,1.8295,-1.5724,-0.1619
0.8776,-0.1251,0.7325,-0.3401,0.312
-1.5356,1.4955,1.173,-1.0247,0.0055
-1.963,1.946,0.5806,-1.1315,-0.1346
-1.3585,1.7411,-1.7768,-1.7539,-0.6146
-0.1965,-0.0208,1.2447,-0.2455,0.1388
0.2198,-0.7795,0.2607,0.703,0.0316
-0.2347,-0.4214,-0.0461,0.9256,-0.02
0.1696,-0.1346,-0.0059,-0.3571,-0.0601
0.5856,-0.0483,-0.0992,-0.4223,0.0598
-1.0931,0.862,0.2379,0.0203,-0.0278
0.7707,-1.4239,0.2849,-0.4635,-0.2166
0.8817,-2.1645,-2.0326,2.0192,-0.3776
1.0054,-1.5378,0.4307,-0.2076,-0.0979
0.5238,-0.045,0.8183,0.7272,0.4577
1.6617,-1.9021,-0.4407,0.5988,-0.0218
0.0676,0.1059,0.1983,0.4978,0.1911
-1.6396,1.2582,0.693,-1.4756,-0.2832
-1.7577,0.9003,1.3659,0.1639,0.0394
-1.2922,1.0087,-1.4186,0.3192,-0.3234
-1.7323,1.1574,1.4557,-1.5366,-0.1977
-0.0487,0.3831,-0.3184,-0.3416,-0.0355
-1.5956,0.6988,0.5588,-1.463,-0.4584
-1.2275,0.524,1.6701,-1.0981,-0.0986
0.3568,-0.7347,-1.0122,-1.7388,-0.6588
0.1847,-1.0892,-0.3827,1.5076,-0.0407
0.6069,-0.5712,1.3526,-1.5168,-0.0089
-1.7246,0.8195,-0.405,1.0209,-0.1643
-0.6353,0.4698,-0.4129,-0.2188,-0.1835
-1.0434,0.5411,-0.1071,0.673,-0.047
0.0094,0.5226,0.6947,0.2705,0.3512
0.6317,-0.8805,1.2902,-0.8547,0.0271
-1.9166,1.7289,-1.9851,1.5342,-0.1761
-0.6944,0.4469,1.6716,-0.9213,0.0766
-0.6206,0.5043,-2.0371,0.0767,-0.4409
-1.6157,1.1977,1.3327,-0.4166,0.0475
